Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-09-07 00:00:00-04:00,44.0,44.0,42.0,42.0,988,0.0,0.0
1984-09-10 00:00:00-04:00,42.0,44.0,42.0,42.0,75,0.0,0.0
1984-09-11 00:00:00-04:00,42.0,44.0,42.0,42.0,438,0.0,0.0
1984-09-12 00:00:00-04:00,44.0,44.0,44.0,44.0,88,0.0,0.0
1984-09-13 00:00:00-04:00,44.0,44.0,40.0,40.0,213,0.0,0.0
1984-09-14 00:00:00-04:00,40.0,44.0,40.0,42.0,413,0.0,0.0
1984-09-17 00:00:00-04:00,42.0,42.0,38.0,38.0,450,0.0,0.0
1984-09-18 00:00:00-04:00,38.0,40.0,38.0,38.0,700,0.0,0.0
1984-09-19 00:00:00-04:00,40.0,40.0,40.0,40.0,38,0.0,0.0
1984-09-20 00:00:00-04:00,42.0,42.0,42.0,42.0,1713,0.0,0.0
1984-09-21 00:00:00-04:00,42.0,44.0,42.0,44.0,450,0.0,0.0
1984-09-24 00:00:00-04:00,46.0,48.0,46.0,46.0,1938,0.0,0.0
1984-09-25 00:00:00-04:00,50.0,50.0,50.0,50.0,650,0.0,0.0
1984-09-26 00:00:00-04:00,52.0,52.0,52.0,52.0,688,0.0,0.0
1984-09-27 00:00:00-04:00,52.0,52.0,50.0,50.0,450,0.0,0.0
1984-09-28 00:00:00-04:00,50.0,52.0,48.0,50.0,2225,0.0,0.0
1984-10-01 00:00:00-04:00,50.0,50.0,48.0,48.0,400,0.0,0.0
1984-10-02 00:00:00-04:00,48.0,50.0,46.0,46.0,325,0.0,0.0
1984-10-03 00:00:00-04:00,46.0,48.0,46.0,46.0,163,0.0,0.0
1984-10-04 00:00:00-04:00,46.0,50.0,46.0,46.0,363,0.0,0.0
1984-10-05 00:00:00-04:00,48.0,52.0,48.0,48.0,550,0.0,0.0
1984-10-08 00:00:00-04:00,50.0,52.0,50.0,50.0,163,0.0,0.0
