Price,Close,High,Low,Open,Volume
Ticker,^W5000,^W5000,^W5000,^W5000,^W5000
Date,,,,,
1989-01-03,2718.590087890625,2718.590087890625,2718.590087890625,2718.590087890625,0
1989-01-04,2752.97998046875,2752.97998046875,2752.97998046875,2752.97998046875,0
1989-01-05,2760.919921875,2760.919921875,2760.919921875,2760.919921875,0
1989-01-06,2769.389892578125,2769.389892578125,2769.389892578125,2769.389892578125,0
1989-01-09,2773.320068359375,2773.320068359375,2773.320068359375,2773.320068359375,0
1989-01-10,2768.1201171875,2768.1201171875,2768.1201171875,2768.1201171875,0
1989-01-11,2780.389892578125,2780.389892578125,2780.389892578125,2780.389892578125,0
1989-01-12,2790.590087890625,2790.590087890625,2790.590087890625,2790.590087890625,0
1989-01-13,2795.820068359375,2795.820068359375,2795.820068359375,2795.820068359375,0
1989-01-16,2798.06005859375,2798.06005859375,2798.06005859375,2798.06005859375,0
1989-01-17,2792.760009765625,2792.760009765625,2792.760009765625,2792.760009765625,0
1989-01-18,2819.10009765625,2819.10009765625,2819.10009765625,2819.10009765625,0
1989-01-19,2824.93994140625,2824.93994140625,2824.93994140625,2824.93994140625,0
1989-01-20,2824.800048828125,2824.800048828125,2824.800048828125,2824.800048828125,0
1989-01-23,2807.97998046875,2807.97998046875,2807.97998046875,2807.97998046875,0
1989-01-24,2837.909912109375,2837.909912109375,2837.909912109375,2837.909912109375,0
1989-01-25,2843.97998046875,2843.97998046875,2843.97998046875,2843.97998046875,0
1989-01-26,2866.179931640625,2866.179931640625,2866.179931640625,2866.179931640625,0
1989-01-27,2886.68994140625,2886.68994140625,2886.68994140625,2886.68994140625,0
1989-01-30,2896.2900390625,2896.2900390625,2896.2900390625,2896.2900390625,0
1989-01-31,2917.260009765625,2917.260009765625,2917.260009765625,2917.260009765625,0
1989-02-01,2916.889892578125,2916.889892578125,2916.889892578125,2916.889892578125,0
1989-02-02,2918.360107421875,2918.360107421875,2918.360107421875,2918.360107421875,0
1989-02-03,2921.610107421875,2921.610107421875,2921.610107421875,2921.610107421875,0
1989-02-06,2917.139892578125,2917.139892578125,2917.139892578125,2917.139892578125,0
1989-02-07,2947.239990234375,2947.239990234375,2947.239990234375,2947.239990234375,0
1989-02-08,2941.4599609375,2941.4599609375,2941.4599609375,2941.4599609375,0
1989-02-09,2916.760009765625,2916.760009765625,2916.760009765625,2916.760009765625,0
1989-02-10,2884.820068359375,2884.820068359375,2884.820068359375,2884.820068359375,0
1989-02-13,2884.330078125,2884.330078125,2884.330078125,2884.330078125,0
1989-02-14,2881.340087890625,2881.340087890625,2881.340087890625,2881.340087890625,0
1989-02-15,2902.27001953125,2902.27001953125,2902.27001953125,2902.27001953125,0
1989-02-16,2908.56005859375,2908.56005859375,2908.56005859375,2908.56005859375,0
1989-02-17,2924.85009765625,2924.85009765625,2924.85009765625,2924.85009765625,0
1989-02-21,2917.699951171875,2917.699951171875,2917.699951171875,2917.699951171875,0
1989-02-22,2877.159912109375,2877.159912109375,2877.159912109375,2877.159912109375,0
1989-02-23,2885.860107421875,2885.860107421875,2885.860107421875,2885.860107421875,0
1989-02-24,2846.699951171875,2846.699951171875,2846.699951171875,2846.699951171875,0
1989-02-27,2849.43994140625,2849.43994140625,2849.43994140625,2849.43994140625,0
1989-02-28,2857.860107421875,2857.860107421875,2857.860107421875,2857.860107421875,0
1989-03-01,2846.639892578125,2846.639892578125,2846.639892578125,2846.639892578125,0
1989-03-02,2872.280029296875,2872.280029296875,2872.280029296875,2872.280029296875,0
1989-03-03,2884.1201171875,2884.1201171875,2884.1201171875,2884.1201171875,0
1989-03-06,2912.43994140625,2912.43994140625,2912.43994140625,2912.43994140625,0
